Date,Open,High,Low,Close
2004-04-20,43327,43614,42771,42929
2004-04-21,42921,43148,42377,42627
2004-04-22,42643,43169,42623,43100
2004-04-23,43104,43273,42859,43098
2004-04-26,43011,43236,42878,43083
2004-04-27,43079,43750,42998,43644
2004-04-28,43624,43707,42131,42369
2004-04-29,42291,42655,41752,42613
2004-04-30,42586,43119,42488,42731
2004-05-03,42739,42972,42474,42662
2004-05-04,42655,43190,42601,42850
2004-05-05,42861,43138,42314,42761
2004-05-06,42761,43000,42333,42521
2004-05-07,42552,43099,42303,42496
2004-05-10,42631,43111,42152,43056
2004-05-11,43007,43077,42537,42627
2004-05-12,42691,43354,42523,42706
2004-05-13,42676,43130,42572,42905
2004-05-14,42946,43140,42721,42963
2004-05-17,42810,43548,42795,43323
2004-05-18,43327,43430,42774,43087
2004-05-19,43031,43222,42704,43130
2004-05-20,43096,43356,42684,42817
2004-05-21,42767,43356,42625,43222
2004-05-24,43090,43636,43040,43564
2004-05-25,43568,43881,43296,43335
2004-05-26,43375,43383,43368,43379
2004-05-27,43861,43869,43853,43853
2004-05-28,43861,43920,43243,43302
2004-05-31,43383,43655,43074,43252
2004-06-01,43232,43675,43095,43596
2004-06-02,43557,43877,42889,42943
2004-06-03,42951,43670,42865,43064
2004-06-04,43080,43527,42803,43477
2004-06-07,43332,43417,42930,43112
2004-06-08,43108,43391,42842,42861
2004-06-09,42889,42948,42070,42289
2004-06-10,42285,42406,41932,42134
2004-06-11,42165,42472,41998,42371
2004-06-14,42463,42812,42172,42513
2004-06-15,42561,42573,42561,42573
2004-06-16,42561,42689,42140,42319
2004-06-17,42426,42465,42426,42434
2004-06-18,42426,43077,42192,42937
2004-06-21,42906,43049,42608,42903
2004-06-22,42858,43262,42609,43162
2004-06-23,43079,43138,42624,42811
2004-06-24,42787,43175,42496,43031
2004-06-25,43019,43476,42995,43292
2004-06-28,43282,43676,43152,43214
2004-06-29,43218,43446,42255,42407
2004-06-30,42407,43241,42388,42887
2004-07-01,42871,42913,42481,42869
2004-07-02,42909,43383,42407,43039
2004-07-05,43120,43504,43062,43346
2004-07-06,43382,43679,42428,42869
2004-07-07,42877,43701,42813,43612
2004-07-08,43604,44458,43398,44307
2004-07-09,44315,44319,43762,44055
2004-07-12,44016,44184,43769,44031
2004-07-13,44060,44272,43541,43657
2004-07-14,43625,44229,43561,44178
2004-07-15,44178,44408,43903,44329
2004-07-16,44376,44384,44045,44166
2004-07-19,44142,44250,43707,43917
2004-07-20,43905,44146,43199,43401
2004-07-21,43385,43781,43329,43657
2004-07-22,43657,43729,43165,43318
2004-07-23,43306,43453,42671,42922
2004-07-26,42962,43069,42763,42912
2004-07-27,42892,43191,42745,42998
2004-07-28,43001,43514,42851,43444
2004-07-29,43432,43728,43245,43475
2004-07-30,43456,43707,43272,43569
2004-08-02,43444,43856,43271,43408
2004-08-03,43396,43597,43034,43549
2004-08-04,43549,43820,43462,43532
2004-08-05,43532,43897,43437,43865
2004-08-06,43869,44223,43298,44165
2004-08-09,44002,44323,43849,44264
2004-08-10,44272,44434,44034,44313
2004-08-11,44273,44281,43510,43796
2004-08-12,43812,44057,43692,43748
2004-08-13,43696,44209,43647,44131
2004-08-16,43974,44624,43959,44460
2004-08-17,44444,44553,44116,44430
2004-08-18,44389,44462,43976,44181
2004-08-19,44194,44653,44150,44455
2004-08-20,44467,45268,44301,45061
2004-08-23,44907,45002,44689,44846
2004-08-24,44838,44965,44049,44159
2004-08-25,44145,44969,44121,44734
2004-08-26,44746,44958,44297,44588
2004-08-27,44569,44693,43917,44140
2004-08-30,44228,44984,44156,44642
2004-08-31,44646,44966,44443,44675
2004-09-01,44671,44807,44478,44665
2004-09-02,44657,44729,44338,44427
2004-09-03,44419,44516,43701,44181
2004-09-06,44354,44397,44028,44209
2004-09-07,44221,44253,43329,43475
2004-09-08,43467,43721,43226,43671
2004-09-09,43663,43911,43537,43683
2004-09-10,43679,44261,43545,44002
2004-09-13,43993,44537,43842,44400
