Date,Open,High,Low,Close
2022-10-10,141.62,141.84,140.89,141.35
2022-10-11,141.39,142.23,140.98,141.53
2022-10-12,141.56,142.68,141.42,142.56
2022-10-13,142.54,144.13,141.73,143.91
2022-10-14,143.92,144.88,143.45,144.56
2022-10-17,144.31,146.74,144.28,146.62
2022-10-18,146.63,147.22,146.21,147.09
2022-10-19,147.08,147.28,146.05,146.46
2022-10-20,146.5,147.35,146.23,146.88
2022-10-21,146.92,148.43,144.14,145.57
2022-10-24,145.7,147.42,143.8,147.08
2022-10-25,147.1,147.51,146.59,147.39
2022-10-26,147.44,147.74,146.93,147.48
2022-10-27,147.52,147.72,145.54,145.71
2022-10-28,145.76,147.43,145.63,146.9
2022-10-31,146.68,147.79,146.65,146.97
2022-11-01,146.97,147.14,145.95,146.38
2022-11-02,146.4,146.54,144.87,145.19
2022-11-03,145.24,145.39,144.02,144.58
2022-11-04,144.57,146.18,144.22,146.0
2022-11-07,145.3,147.05,145.3,146.9
2022-11-08,146.95,147.01,145.95,146.71
2022-11-09,146.76,147.14,146.31,146.62
2022-11-10,146.64,146.79,143.2,143.88
2022-11-11,143.95,145.05,142.65,143.68
2022-11-14,143.45,145.31,143.37,144.43
2022-11-15,144.43,145.39,143.34,144.1
2022-11-16,144.14,145.57,143.54,145.02
2022-11-17,145.07,145.5,144.42,145.23
2022-11-18,145.28,145.57,144.54,144.9
2022-11-21,144.83,145.67,144.3,145.55
2022-11-22,145.6,145.72,144.87,145.51
2022-11-23,145.56,146.17,144.61,145.1
2022-11-24,145.16,145.23,143.64,144.27
2022-11-25,144.3,145.18,144.1,144.59
2022-11-28,144.43,145.04,143.02,143.62
2022-11-29,143.68,144.05,143.0,143.21
2022-11-30,143.26,144.95,143.16,143.62
2022-12-01,143.67,143.79,141.9,142.36
2022-12-02,142.38,142.5,140.62,141.53
2022-12-05,141.82,143.67,141.32,143.45
2022-12-06,143.45,144.07,143.09,143.48
2022-12-07,143.49,144.65,143.15,143.5
2022-12-08,143.54,144.42,143.21,144.25
2022-12-09,144.31,144.48,142.75,143.8
2022-12-12,143.79,145.14,143.7,145.02
2022-12-13,145.07,145.77,143.51,144.11
2022-12-14,144.17,144.91,143.51,144.71
2022-12-15,144.73,146.77,144.29,146.38
2022-12-16,146.4,146.61,144.59,144.65
2022-12-19,144.0,145.54,143.75,145.16
2022-12-20,145.21,145.85,138.78,139.88
2022-12-21,139.93,140.81,139.66,140.46
2022-12-22,140.52,140.7,139.95,140.18
2022-12-23,140.22,141.29,140.07,140.94
2022-12-26,140.92,141.54,140.32,141.3
2022-12-27,141.35,142.3,141.13,142.0
2022-12-28,142.06,142.96,141.89,142.65
2022-12-29,142.7,142.72,141.56,141.8
2022-12-30,141.83,141.9,139.96,140.31
2023-01-02,140.36,140.36,139.25,139.38
2023-01-03,139.42,140.04,137.38,138.21
2023-01-04,138.2,140.79,137.85,140.57
2023-01-05,140.61,141.38,139.95,140.34
2023-01-06,140.37,141.47,140.22,140.58
2023-01-09,140.45,141.93,140.16,141.48
2023-01-10,141.45,142.08,141.09,141.96
2023-01-11,142.0,142.89,141.82,142.47
2023-01-12,142.51,142.57,140.0,140.22
2023-01-13,140.24,140.42,137.99,138.47
2023-01-16,138.45,139.36,138.22,139.03
2023-01-17,139.12,139.65,138.18,138.23
2023-01-18,138.26,141.7,138.2,139.09
2023-01-19,139.15,139.47,137.91,139.04
2023-01-20,139.08,141.29,139.04,140.64
2023-01-23,140.73,142.11,140.46,142.0
2023-01-24,142.05,142.23,141.24,141.6
2023-01-25,141.71,142.32,140.74,141.44
2023-01-26,141.48,141.94,140.85,141.79
2023-01-27,141.83,141.87,140.8,141.11
2023-01-30,141.23,142.01,140.54,141.45
2023-01-31,141.54,141.64,140.74,141.3
2023-02-01,141.35,141.88,140.88,141.68
2023-02-02,141.71,142.01,140.05,140.36
2023-02-03,140.36,142.39,139.48,141.57
2023-02-06,141.55,143.0,141.51,142.33
2023-02-07,142.31,142.39,140.25,140.57
2023-02-08,140.59,141.07,140.29,140.68
2023-02-09,140.73,141.35,140.59,141.24
2023-02-10,141.27,141.52,139.55,140.31
2023-02-13,140.35,142.42,140.26,141.95
2023-02-14,141.98,142.99,141.5,142.89
2023-02-15,142.94,143.46,142.34,143.37
2023-02-16,143.4,143.67,142.84,142.89
2023-02-17,142.92,143.72,142.92,143.46
2023-02-20,143.49,143.67,143.02,143.38
2023-02-21,143.44,144.18,143.15,143.72
2023-02-22,143.73,143.87,143.0,143.01
2023-02-23,143.06,143.55,142.55,142.71
2023-02-24,142.76,144.05,142.16,143.91
2023-02-27,143.87,144.61,143.51,144.47
2023-02-28,144.47,145.51,143.87,144.05
2023-03-01,144.1,145.39,143.95,145.25
2023-03-02,145.28,145.63,144.76,144.91
2023-03-03,144.95,145.1,144.26,144.45
2023-03-06,144.49,145.42,144.11,145.12
2023-03-07,145.18,145.46,144.54,144.65
2023-03-08,144.69,145.26,144.21,144.81
2023-03-09,144.84,144.89,143.6,144.04
2023-03-10,144.07,145.36,143.33,143.66
2023-03-13,143.67,144.43,141.33,142.89
2023-03-14,142.94,144.46,142.52,144.04
2023-03-15,144.06,144.99,139.44,141.07
2023-03-16,141.12,142.07,139.12,141.81
2023-03-17,141.87,142.22,140.14,140.57
2023-03-20,141.33,141.88,138.82,140.76
2023-03-21,140.81,142.81,140.4,142.67
2023-03-22,142.69,143.66,142.3,142.68
2023-03-23,142.71,143.22,141.14,141.67
2023-03-24,141.67,141.87,139.06,140.61
2023-03-27,140.73,142.26,140.56,142.03
2023-03-28,142.06,142.18,141.03,141.91
2023-03-29,141.95,144.13,141.79,144.04
2023-03-30,144.08,145.13,143.13,144.6
2023-03-31,144.68,145.69,143.88,143.93
2023-04-03,144.06,144.95,143.62,144.23
2023-04-04,144.32,145.45,143.95,144.23
2023-04-05,144.26,144.55,142.74,143.22
2023-04-06,143.2,144.08,142.57,143.9
2023-04-07,143.93,144.31,143.48,143.98
2023-04-10,144.05,145.17,143.79,145.08
2023-04-11,145.12,146.0,144.87,145.85
2023-04-12,145.86,146.82,145.73,146.29
2023-04-13,146.35,147.07,146.07,146.36
2023-04-14,146.39,147.2,146.22,147.13
2023-04-17,147.23,147.47,146.64,146.91
2023-04-18,146.91,147.41,146.71,147.11
2023-04-19,147.15,147.9,147.02,147.54
2023-04-20,147.59,147.86,147.01,147.21
2023-04-21,147.26,147.6,146.39,147.39
2023-04-24,147.46,148.51,147.11,148.19
2023-04-25,148.28,148.65,146.28,146.71
2023-04-26,146.72,147.93,146.44,147.56
2023-04-27,147.6,148.04,147.13,147.71
2023-04-28,147.75,150.56,146.93,150.18
2023-05-01,150.23,150.94,149.96,150.88
2023-05-02,150.93,151.59,149.77,150.18
2023-05-03,150.2,150.39,148.96,148.94
2023-05-04,148.99,149.22,147.1,147.84
2023-05-05,147.88,148.74,147.68,148.56
2023-05-08,148.77,149.28,148.44,148.64
2023-05-09,148.69,148.71,147.88,148.19
2023-05-10,148.23,148.7,147.03,147.51
2023-05-11,147.55,147.6,146.12,146.85
2023-05-12,146.86,147.5,146.65,147.22
2023-05-15,147.35,148.28,147.22,147.96
2023-05-16,148.01,148.53,147.59,148.11
2023-05-17,148.14,149.29,148.07,149.22
2023-05-18,149.25,149.48,148.75,149.38
2023-05-19,149.42,149.83,148.7,149.01
2023-05-22,149.13,149.96,148.82,149.82
2023-05-23,149.88,150.07,149.09,149.25
2023-05-24,149.29,149.97,148.83,149.89
2023-05-25,149.93,150.33,149.29,150.11
2023-05-26,150.14,150.98,149.79,150.8
2023-05-29,150.89,151.09,150.08,150.34
2023-05-30,150.38,150.67,149.72,150.04
2023-05-31,150.08,150.13,148.57,148.93
2023-06-01,148.96,149.7,148.62,149.34
2023-06-02,149.39,149.99,149.11,149.82
2023-06-05,149.92,150.23,149.22,149.48
2023-06-06,149.52,149.73,148.81,149.31
2023-06-07,149.31,150.05,148.62,149.88
2023-06-08,149.92,150.09,149.57,149.76
2023-06-09,149.79,150.47,149.63,149.75
2023-06-12,149.82,150.38,149.65,150.17
2023-06-13,150.15,151.41,150.03,151.29
2023-06-14,151.34,151.81,150.91,151.73
2023-06-15,151.73,153.72,151.57,153.53
2023-06-16,153.55,155.32,153.07,155.11
2023-06-19,155.07,155.35,154.64,155.06
2023-06-20,155.1,155.43,154.04,154.38
2023-06-21,154.45,155.94,154.29,155.84
2023-06-22,155.89,156.97,155.61,156.79
2023-06-23,156.82,156.86,155.04,156.45
2023-06-26,156.58,156.76,155.74,156.47
2023-06-27,156.57,158.01,156.38,157.89
2023-06-28,157.92,158.05,157.21,157.63
2023-06-29,157.67,157.95,157.23,157.28
2023-06-30,157.28,157.92,156.69,157.45
2023-07-03,157.48,158.01,157.24,157.82
2023-07-04,157.88,157.94,157.13,157.12
2023-07-05,157.18,157.74,156.76,156.97
2023-07-06,157.01,157.08,155.82,156.84
2023-07-07,156.86,156.95,155.35,155.81
2023-07-10,155.89,156.69,155.31,155.43
2023-07-11,155.45,155.69,154.17,154.49
2023-07-12,154.53,154.57,153.47,154.12
2023-07-13,154.17,155.18,153.86,154.92
2023-07-14,154.94,156.17,154.15,155.75
2023-07-17,155.88,156.36,155.06,155.87
2023-07-18,155.88,156.16,154.86,155.83
2023-07-19,155.86,157.23,155.82,156.4
2023-07-20,156.45,156.63,155.85,155.87
2023-07-21,155.91,158.07,155.58,157.68
2023-07-24,157.79,157.81,156.23,156.46
2023-07-25,156.52,156.92,155.6,155.69
2023-07-26,155.77,156.02,155.13,155.39
2023-07-27,155.39,156.27,152.18,153.01
2023-07-28,153.1,155.64,151.4,155.48
2023-07-31,155.61,157.31,155.09,156.45
2023-08-01,156.45,157.52,156.39,157.41
2023-08-02,157.43,157.54,156.24,156.73
2023-08-03,156.76,157.26,155.51,156.0
2023-08-04,156.07,156.67,155.88,156.07
2023-08-07,156.13,156.9,155.8,156.8
2023-08-08,156.8,157.77,156.32,157.06
2023-08-09,157.09,157.92,156.87,157.7
2023-08-10,157.74,159.23,157.64,158.9
2023-08-11,158.95,159.26,158.6,158.64
2023-08-14,158.7,158.87,158.18,158.71
2023-08-15,158.75,159.36,158.51,158.73
2023-08-16,158.78,159.29,158.62,159.17
2023-08-17,159.23,159.33,158.24,158.53
2023-08-18,158.59,158.6,157.65,157.97
2023-08-21,158.16,159.43,157.79,159.19
2023-08-22,159.24,159.51,158.07,158.19
2023-08-23,158.26,158.4,156.85,157.27
2023-08-24,157.31,158.07,157.09,157.62
2023-08-25,157.66,158.28,157.2,158.12
2023-08-28,158.16,158.58,158.07,158.51
2023-08-29,158.48,159.32,158.22,158.68
2023-08-30,158.71,159.81,158.54,159.75
2023-08-31,159.76,159.8,157.58,157.77
2023-09-01,157.81,158.0,157.02,157.53
2023-09-04,157.62,158.28,157.31,158.06
2023-09-05,158.14,158.54,157.78,158.45
2023-09-06,158.51,158.52,157.76,158.38
2023-09-07,158.38,158.55,157.35,157.59
2023-09-08,157.56,158.44,156.99,158.14
2023-09-11,158.39,158.42,156.57,157.53
2023-09-12,157.58,158.32,157.14,158.16
2023-09-13,158.18,158.68,157.99,158.17
2023-09-14,158.22,158.42,156.61,156.92
2023-09-15,156.9,157.94,156.71,157.52
2023-09-18,157.64,158.0,157.32,157.77
2023-09-19,157.82,158.32,157.72,157.87
2023-09-20,157.89,158.53,157.76,158.1
2023-09-21,158.14,158.16,156.98,157.29
2023-09-22,157.32,158.31,157.1,158.04
2023-09-25,158.07,158.26,157.45,157.66
2023-09-26,157.72,157.96,157.31,157.55
2023-09-27,157.59,157.7,156.94,157.11
2023-09-28,157.16,157.92,156.7,157.64
2023-09-29,157.76,158.37,157.39,157.86
2023-10-02,158.03,158.51,156.98,156.97
2023-10-03,157.02,157.26,154.45,155.95
2023-10-04,156.03,156.81,155.81,156.62
2023-10-05,156.65,156.81,156.07,156.64
2023-10-06,156.68,158.3,156.47,158.07
2023-10-09,157.84,157.84,156.51,156.89
2023-10-10,156.93,158.02,156.75,157.67
2023-10-11,157.71,158.51,157.5,158.35
2023-10-12,158.39,158.66,157.64,157.68
2023-10-13,157.7,158.08,157.03,157.16
2023-10-16,157.13,158.05,157.04,157.84
2023-10-17,157.88,158.66,157.57,158.41
2023-10-18,158.43,158.59,157.67,157.94
2023-10-19,157.95,158.95,157.66,158.48
2023-10-20,158.5,158.98,158.32,158.73
2023-10-23,158.69,159.8,158.49,159.7
2023-10-24,159.75,159.95,158.53,158.72
2023-10-25,158.78,158.97,158.4,158.67
2023-10-26,158.79,158.93,157.98,158.8
2023-10-27,158.79,158.91,157.88,158.04
2023-10-30,158.0,158.95,157.68,158.24
2023-10-31,158.3,160.88,158.18,160.41
2023-11-01,160.39,160.45,159.01,159.52
2023-11-02,159.56,160.13,159.05,159.77
2023-11-03,159.82,160.46,159.59,160.26
2023-11-06,160.3,161.02,160.1,160.82
2023-11-07,160.83,161.07,160.42,160.85
2023-11-08,160.88,161.76,160.68,161.64
2023-11-09,161.67,161.83,161.35,161.42
2023-11-10,161.46,161.98,161.34,161.82
